Group,Median Weekly Earnings,Year
Adults (35-65),760.98,2013
Men (18-34),501.06,2013
Women (18-34),460.816,2013
Adults (35-65),781.43,2014
Men (18-34),512.42,2014
Women (18-34),480.0,2014
Adults (35-65),811.27,2015
Men (18-34),536.492,2015
Women (18-34),483.16,2015
Adults (35-65),860.72,2016
Men (18-34),566.7333333333333,2016
Women (18-34),531.4885714285715,2016
Adults (35-65),875.59,2017
Men (18-34),600.0,2017
Women (18-34),560.0,2017
Adults (35-65),913.73,2018
Men (18-34),616.6733333333334,2018
Women (18-34),586.88,2018
